"X","USDAcode","GPI_status"
771,"AMHU2","invasive"
772,"AMMU3","invasive"
773,"AMHY","invasive"
774,"ALRO3","invasive"
775,"AKQU","invasive"
776,"ACRE2","invasive"
777,"VAKA","invasive"
778,"GAPE2","invasive"
779,"HYRA","invasive"
780,"IMCA","invasive"
781,"LEMI6","invasive"
782,"LEVI3","invasive"
783,"LIOV","invasive"
784,"LIDU","invasive"
785,"LYAM3","invasive"
786,"MAAQ2","invasive"
787,"MOVE","invasive"
788,"NATE3","invasive"
789,"PADI","invasive"
790,"PASO2","invasive"
791,"CHLA","invasive"
792,"DYMU","invasive"
793,"CLPE","invasive"
794,"HEMA22","invasive"
795,"DICR8","invasive"
796,"FRCO8","invasive"
797,"GARI2","invasive"
798,"HECU3","invasive"
799,"HYMA7","invasive"
800,"HYBO","invasive"
801,"LISC4","invasive"
802,"LYCH","invasive"
803,"NOBO","invasive"
804,"OXPU2","invasive"
805,"PAMI2","invasive"
806,"PICR","invasive"
807,"RUFR7","invasive"
808,"SOTO7","invasive"
809,"TUCL","invasive"
810,"ZAAE","invasive"
811,"SCAC2","invasive"
812,"SCSE6","invasive"
813,"JAFL","invasive"
814,"CAGL11","invasive"
815,"ERPI2","invasive"
816,"ECVU","invasive"
817,"ARCH17","invasive"
818,"RUUL","invasive"
819,"UGMO","invasive"
820,"BEIN2","invasive"
821,"CRTE3","invasive"
822,"BEPE3","invasive"
823,"CAAR18","invasive"
824,"SYVU","invasive"
825,"FIMI2","invasive"
826,"CEOB","invasive"
827,"MAMA28","invasive"
828,"MECA9","invasive"
829,"ABAM","invasive"
830,"ABGR","invasive"
831,"KOEL","invasive"
832,"RUNU","invasive"
833,"SIOR2","invasive"
834,"SOLY2","invasive"
835,"HIRH80","invasive"
836,"HITR","invasive"
837,"ERVI3","invasive"
838,"ELCI","invasive"
839,"BEPE2","invasive"
840,"ARRU4","invasive"
841,"ANCO2","invasive"
842,"ACAU6","invasive"
843,"XASP2","invasive"
844,"FLBI","invasive"
845,"DETR5","invasive"
846,"MISC","invasive"
847,"DESO2","invasive"
848,"ZILA3","invasive"
849,"ALJU","invasive"
850,"LISE3","invasive"
851,"HYPO3","invasive"
852,"GUTI","invasive"
853,"CELO3","invasive"
854,"AMCO3","invasive"
855,"AMPA","invasive"
856,"STGE2","invasive"
857,"STHE8","invasive"
858,"LYJA","invasive"
859,"PAMA8","invasive"
860,"CEBR","invasive"
861,"PALI8","invasive"
862,"PAQU3","invasive"
863,"HYHI","invasive"
